flat_type,year,month_num,prev_month_resale_price
5,2021,2,780000.0
5,2021,3,860000.0
5,2021,4,647500.0
5,2021,5,820000.0
5,2021,6,823666.6666666666
5,2021,9,955000.0
5,2021,10,846666.6666666666
5,2021,11,838000.0
5,2021,12,857500.0
5,2022,1,785000.0
5,2022,2,790296.0
5,2022,3,848000.0
5,2022,5,915000.0
5,2022,9,880000.0
5,2022,10,1021250.0
5,2022,11,871500.0
5,2023,1,1080000.0
5,2023,6,935000.0
5,2023,12,975000.0
5,2024,2,989000.0
5,2024,3,1130000.0
5,2024,6,1028000.0
5,2024,11,1028000.0
6,2015,1,609191.1397849462
6,2015,2,621457.9459459459
6,2015,3,636342.945652174
6,2015,4,615296.4705882353
6,2015,5,637688.9076923077
6,2015,6,634871.9310344828
6,2015,7,620382.4444444445
6,2015,8,611425.009090909
6,2015,9,614126.328358209
6,2015,10,616215.9701492537
6,2015,11,615735.9402985075
6,2015,12,617180.6829268293
6,2016,1,635133.7634408602
6,2016,2,630275.2989690722
6,2016,3,606584.5205479452
6,2016,4,603893.0322580645
6,2016,5,620635.2905405406
6,2016,6,620916.0296296297
6,2016,7,629856.3692307692
6,2016,8,635341.2450331126
6,2016,9,629598.9461538461
6,2016,10,627652.6347826087
6,2016,11,622450.8702290077
6,2016,12,634764.7739325843
6,2017,1,622725.9746835442
6,2017,2,617732.8365384615
6,2017,3,627449.1586206896
6,2017,4,624133.5118110236
6,2017,5,615072.6597222222
6,2017,6,636785.6623376623
6,2017,7,635303.1079136691
6,2017,8,639092.2039473684
6,2017,9,643452.3174603175
6,2017,10,609412.9811320754
6,2017,11,621798.0784313725
6,2017,12,631796.338028169
6,2018,1,644633.8285714285
6,2018,2,626227.7876106194
6,2018,3,618675.0785340314
6,2018,4,629906.0898876404
6,2018,5,631034.7906976744
6,2018,6,624085.3766233766
6,2018,7,627889.2892561983
6,2018,8,653373.2325581395
6,2018,9,628835.2297687861
6,2018,10,627238.9253731343
6,2018,11,641684.1655172413
6,2018,12,615915.0927835051
6,2019,1,627357.9016393443
6,2019,2,624166.3736263736
6,2019,3,626567.4234234234
6,2019,4,612140.0567375886
6,2019,5,607181.8571428572
6,2019,6,622017.2941176471
6,2019,7,627006.6637974683
6,2019,8,600036.425
6,2019,9,614627.485915493
6,2019,10,609839.0718562874
6,2019,11,623652.5153846154
6,2019,12,626876.3356643356
6,2020,1,629184.6106870229
6,2020,2,623112.7433628319
6,2020,3,626445.2589928057
6,2020,4,608960.5263157894
6,2020,5,599702.5882352941
6,2020,6,609335.2527472527
6,2020,7,612807.0310880829
6,2020,8,633407.4046511628
6,2020,9,640682.9441624365
6,2020,10,653853.2586206896
6,2020,11,652035.747368421
6,2020,12,666162.6422018348
6,2021,1,672446.0900900901
6,2021,2,679676.0671604938
6,2021,3,695936.2117647058
6,2021,4,700701.3714285714
6,2021,5,685968.3776223776
6,2021,6,701502.8010471205
6,2021,7,695719.9230769231
6,2021,8,708079.9714285714
6,2021,9,725721.671875
6,2021,10,718785.0631578948
6,2021,11,729237.8219178083
6,2021,12,748235.3163841808
6,2022,1,751777.3652694611
6,2022,2,778704.9926470588
6,2022,3,751426.5535714285
6,2022,4,762984.2130177515
6,2022,5,771782.8148148148
6,2022,6,772445.7948717949
6,2022,7,799929.3664921466
6,2022,8,790968.6334146342
6,2022,9,816360.5359116022
6,2022,10,786910.7985074627
6,2022,11,796748.552631579
6,2022,12,802559.7878787878
6,2023,1,809170.8167567567
6,2023,2,805501.8620689656
6,2023,3,825998.7067669173
6,2023,4,827943.9777142857
6,2023,5,833821.3962264151
6,2023,6,820123.3711340206
6,2023,7,831930.0716129031
6,2023,8,844182.6933333334
6,2023,9,833435.5045045045
6,2023,10,855698.8717948718
6,2023,11,839810.7310344827
6,2023,12,822098.2068965518
6,2024,1,865608.3170731707
6,2024,2,843498.7737226278
6,2024,3,851162.3565891472
6,2024,4,871599.674074074
6,2024,5,857970.9142857143
6,2024,6,876112.7931034482
6,2024,7,882216.8484848485
6,2024,8,897891.8085106383
6,2024,9,881356.4788732395
6,2024,10,909695.1594202898
6,2024,11,876001.4958677687
6,2024,12,877227.796875
6,2025,1,886521.1636363637
